g200_25_0 7 0.1
g200_25_1 6 0.1
g200_25_2 6 0.1
g200_25_3 7 0.1
g200_25_4 6 0.1
g200_50_1 11 0.1
g200_50_0 10 0.1
g200_50_2 12 0.1
g200_50_3 11 0.1
g200_50_4 11 0.1
g200_70_4 18 1.5
g200_70_1 17 1.8
g200_70_3 18 2.3
g300_25_0 7 0.1
g300_25_1 7 0.1
g200_70_0 18 2.6
g300_25_2 7 0.1
g300_25_3 7 0.1
g300_25_4 7 0.1
g300_50_1 12 0.2
g300_50_0 12 0.3
g200_70_2 17 3.1
g300_50_3 12 0.3
g300_50_4 12 0.3
g300_50_2 11 0.4
g200_80_0 26 43.9
g300_70_0 20 53.1
g300_70_1 20 64.1
g500_25_0 7 0.1
g500_25_1 8 0.1
g500_25_2 8 0.1
g500_25_3 8 0.1
g500_25_4 8 0.1
g200_80_4 26 70.6
g500_50_0 13 5.5
g200_80_2 25 74.2
g200_80_3 25 74.8
g500_50_2 14 4.3
g1000_25_0 9 0.4
g500_50_1 13 6.2
g1000_25_1 9 0.5
g1000_25_2 8 0.5
g1000_25_3 8 0.4
g1000_25_4 8 0.6
g500_50_4 13 4.7
g500_50_3 13 8.1
g300_70_3 20 70.3
g300_70_2 20 113.6
g200_80_1 25 119.0
g300_70_4 20 79.8
