g200_25_0 49 0.1
g200_25_1 46 0.1
g200_50_4 78 0.1
g200_50_3 78 0.1
g200_25_2 48 0.1
g200_50_1 79 0.1
g200_50_2 96 0.1
g200_25_3 48 0.1
g200_50_0 76 0.1
g200_25_4 49 0.1
g200_70_0 133 0.2
g200_70_2 125 0.2
g200_70_4 128 0.2
g200_70_3 133 0.2
g200_70_1 121 0.2
g200_80_0 167 1.8
g200_80_1 190 2.7
g200_80_3 192 3.0
g300_25_0 55 0.1
g300_25_1 55 0.1
g300_25_2 60 0.1
g300_25_3 52 0.1
g300_25_4 51 0.1
g300_50_0 89 0.1
g300_50_1 88 0.1
g300_50_2 92 0.1
g300_50_3 88 0.1
g300_50_4 87 0.1
g200_80_4 180 5.4
g200_80_2 184 6.0
g300_70_0 143 4.0
g300_70_1 153 3.5
g300_70_2 139 4.1
g300_70_3 134 3.5
g300_70_4 146 3.9
g300_80_1 193 131.2
g300_80_0 206 156.0
g300_80_2 192 270.1
g500_25_0 60 0.1
g500_25_1 58 0.1
g500_25_2 59 0.1
g500_25_3 58 0.1
g500_25_4 60 0.1
g500_50_0 101 0.5
g500_50_1 99 0.4
g500_50_2 102 0.5
g500_50_3 99 0.5
g500_50_4 97 0.4
g200_90_3 281 373.8
g300_80_3 199 267.4
g300_80_4 212 276.6
g500_70_0 160 177.8
g500_70_2 164 155.1
g1000_25_0 71 0.2
g1000_25_1 66 0.1
g1000_25_2 67 0.1
g1000_25_3 65 0.1
g1000_25_4 68 0.1
g1000_50_0 115 28.1
g200_90_2 279 606.6
g1000_50_1 112 23.6
g1000_50_2 121 22.1
g1000_50_3 115 29.8
g500_70_4 167 185.1
g1000_50_4 120 25.2
g500_70_1 168 322.3
g500_70_3 165 382.5
g200_90_0 276 1373.1
g200_90_1 264 2356.1
g200_90_4 291 2743.2
